,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[177],-1.107,0.349,-1.758,-0.484,0.005,0.008,5789.0,3013.0,1.0
log_tau_participant_raw[178],0.005,0.693,-1.13,1.3,0.013,0.014,3649.0,2342.0,1.0
log_tau_participant_raw[179],0.774,0.67,-0.389,1.974,0.012,0.012,4117.0,2528.0,1.0
log_tau_participant_raw[180],0.768,0.666,-0.436,1.978,0.01,0.012,4684.0,2515.0,1.0
log_tau_participant_raw[181],0.543,0.667,-0.573,1.825,0.011,0.012,4519.0,2655.0,1.0
log_tau_participant_raw[182],-0.374,1.055,-2.208,1.616,0.015,0.018,5379.0,2501.0,1.0
log_tau_participant_raw[183],-0.538,0.632,-1.629,0.62,0.015,0.027,2785.0,1530.0,1.0
log_tau_participant_raw[184],-0.61,0.426,-1.317,0.211,0.008,0.014,4037.0,2002.0,1.0
log_tau_participant_raw[185],-1.435,0.419,-2.174,-0.622,0.006,0.009,4898.0,2529.0,1.0
log_tau_participant_raw[186],-0.773,0.439,-1.523,0.09,0.008,0.012,3577.0,1918.0,1.0
log_tau_participant_raw[187],0.025,0.648,-1.024,1.248,0.014,0.016,3031.0,1971.0,1.0
log_tau_participant_raw[188],0.628,0.694,-0.6,1.883,0.012,0.013,4372.0,2494.0,1.0
log_tau_participant_raw[189],0.525,0.652,-0.567,1.757,0.013,0.013,3498.0,2156.0,1.0
log_tau_participant_raw[190],-1.205,0.36,-1.871,-0.564,0.005,0.006,5057.0,2861.0,1.0
log_tau_participant_raw[191],-0.324,0.52,-1.154,0.723,0.01,0.014,4314.0,2104.0,1.0
log_tau_participant_raw[192],-0.86,0.55,-1.873,0.105,0.011,0.016,3545.0,1475.0,1.0
log_tau_participant_raw[193],0.068,0.586,-0.828,1.238,0.013,0.016,3140.0,1458.0,1.0
log_tau_participant_raw[194],0.952,0.638,-0.15,2.122,0.011,0.012,4001.0,2353.0,1.0
log_tau_participant_raw[195],0.701,0.7,-0.494,2.015,0.011,0.012,4644.0,2820.0,1.0
log_tau_participant_raw[196],0.919,0.675,-0.214,2.16,0.011,0.012,5020.0,2565.0,1.0
log_tau_participant_raw[197],-0.624,0.525,-1.485,0.313,0.013,0.021,2723.0,1353.0,1.0
log_tau_participant_raw[198],0.34,0.678,-0.8,1.6,0.012,0.012,4073.0,2463.0,1.0
log_tau_participant_raw[199],0.582,0.608,-0.417,1.712,0.012,0.014,3541.0,2097.0,1.0
log_tau_participant_raw[200],0.125,0.684,-0.98,1.465,0.014,0.015,3309.0,2310.0,1.0
log_tau_participant_raw[201],0.775,0.674,-0.359,2.052,0.01,0.012,5237.0,2454.0,1.0
log_tau_participant_raw[202],0.688,0.652,-0.399,1.934,0.01,0.011,4778.0,2405.0,1.0
log_tau_participant_raw[203],0.973,0.68,-0.159,2.32,0.01,0.012,5254.0,2760.0,1.0
