,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[114],-0.51,0.559,-1.476,0.5,0.012,0.018,3318.0,1436.0,1.0
log_tau_participant_raw[115],1.043,0.665,-0.155,2.302,0.009,0.012,6066.0,2761.0,1.0
log_tau_participant_raw[116],0.227,0.675,-0.835,1.567,0.012,0.013,4291.0,2254.0,1.0
log_tau_participant_raw[117],0.282,0.665,-0.814,1.545,0.011,0.013,4688.0,2687.0,1.0
log_tau_participant_raw[118],0.67,0.685,-0.496,1.999,0.01,0.014,6760.0,2153.0,1.0
log_tau_participant_raw[119],0.634,0.677,-0.498,1.981,0.01,0.012,5398.0,2526.0,1.0
log_tau_participant_raw[120],0.736,0.658,-0.409,1.977,0.009,0.011,5764.0,2496.0,1.0
log_tau_participant_raw[121],-1.926,0.591,-3.063,-0.846,0.008,0.012,6384.0,2431.0,1.0
log_tau_participant_raw[122],0.888,0.669,-0.285,2.15,0.01,0.012,5706.0,2743.0,1.0
log_tau_participant_raw[123],0.932,0.657,-0.228,2.203,0.01,0.012,5179.0,2298.0,1.0
log_tau_participant_raw[124],0.38,0.596,-0.615,1.475,0.011,0.014,4219.0,2198.0,1.0
log_tau_participant_raw[125],1.101,0.663,0.013,2.452,0.01,0.013,5530.0,2543.0,1.0
log_tau_participant_raw[126],-0.919,0.409,-1.63,-0.241,0.009,0.017,3708.0,1694.0,1.0
log_tau_participant_raw[127],-0.514,0.471,-1.318,0.345,0.009,0.016,4256.0,1992.0,1.0
log_tau_participant_raw[128],0.629,0.677,-0.49,1.945,0.011,0.013,4950.0,2155.0,1.0
log_tau_participant_raw[129],-1.314,0.35,-1.938,-0.642,0.006,0.007,3815.0,2533.0,1.0
log_tau_participant_raw[130],0.571,0.655,-0.523,1.813,0.01,0.011,4945.0,2682.0,1.0
log_tau_participant_raw[131],0.425,0.677,-0.686,1.744,0.011,0.013,4749.0,2646.0,1.0
