,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta_group[1, 4]",0.344,0.332,-0.171,0.977,0.006,0.005,2471.0,2969.0,1.0
"beta_group[1, 5]",0.189,0.26,-0.237,0.72,0.005,0.004,2463.0,2746.0,1.0
"beta_group[2, 0]",0.199,0.336,-0.402,0.864,0.006,0.008,3518.0,2808.0,1.0
"beta_group[2, 1]",-0.059,0.32,-0.71,0.532,0.006,0.007,3518.0,2750.0,1.0
"beta_group[2, 2]",0.017,0.275,-0.535,0.588,0.004,0.006,4307.0,3454.0,1.0
"beta_group[2, 3]",-0.451,0.441,-1.314,0.347,0.008,0.006,2716.0,2754.0,1.0
"beta_group[2, 4]",-0.102,0.262,-0.652,0.391,0.004,0.005,3715.0,3280.0,1.0
"beta_group[2, 5]",0.047,0.252,-0.453,0.534,0.004,0.006,4417.0,3170.0,1.0
"beta_group[3, 0]",0.322,0.361,-0.269,1.013,0.007,0.008,2753.0,2881.0,1.0
"beta_group[3, 1]",-0.129,0.329,-0.764,0.478,0.006,0.007,2780.0,3091.0,1.0
"beta_group[3, 2]",-0.034,0.265,-0.587,0.504,0.004,0.006,3740.0,3131.0,1.0
"beta_group[3, 3]",-0.003,0.406,-0.74,0.805,0.008,0.007,2755.0,2986.0,1.0
"beta_group[3, 4]",-0.112,0.24,-0.594,0.342,0.004,0.005,4146.0,3529.0,1.0
"beta_group[3, 5]",0.014,0.22,-0.417,0.466,0.004,0.004,3326.0,3070.0,1.0
"beta_group[4, 0]",0.33,0.384,-0.307,1.095,0.007,0.007,3299.0,2966.0,1.0
"beta_group[4, 1]",0.092,0.323,-0.568,0.704,0.006,0.007,3164.0,2676.0,1.0
"beta_group[4, 2]",-0.017,0.274,-0.593,0.528,0.004,0.006,5074.0,3532.0,1.0
"beta_group[4, 3]",-0.298,0.439,-1.139,0.528,0.008,0.007,2999.0,3176.0,1.0
"beta_group[4, 4]",0.109,0.267,-0.348,0.672,0.004,0.005,3997.0,3224.0,1.0
