,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_tau_participant_raw[116],-1.973,0.551,-3.029,-0.96,0.009,0.013,4434.0,2128.0,1.0
log_tau_participant_raw[117],-0.106,0.595,-1.037,1.075,0.013,0.015,2789.0,1820.0,1.0
log_tau_participant_raw[118],0.963,0.642,-0.148,2.194,0.01,0.011,4270.0,2398.0,1.0
log_tau_participant_raw[119],0.493,0.646,-0.593,1.719,0.011,0.011,3886.0,2394.0,1.0
log_tau_participant_raw[120],0.617,0.689,-0.617,1.874,0.011,0.012,4340.0,2375.0,1.0
log_tau_participant_raw[121],0.55,0.685,-0.654,1.856,0.013,0.014,3738.0,2021.0,1.0
log_tau_participant_raw[122],-1.525,0.378,-2.225,-0.8,0.006,0.007,3743.0,2829.0,1.0
log_tau_participant_raw[123],0.977,0.638,-0.13,2.191,0.01,0.011,4387.0,2584.0,1.0
log_tau_participant_raw[124],0.937,0.677,-0.272,2.181,0.011,0.011,4369.0,2755.0,1.0
log_tau_participant_raw[125],0.421,0.632,-0.538,1.703,0.013,0.014,3537.0,1851.0,1.0
log_tau_participant_raw[126],1.032,0.628,-0.088,2.22,0.012,0.012,3355.0,2479.0,1.0
log_tau_participant_raw[127],0.31,0.607,-0.641,1.545,0.013,0.014,3293.0,1874.0,1.0
log_tau_participant_raw[128],0.04,0.63,-0.977,1.231,0.013,0.014,3345.0,2053.0,1.0
log_tau_participant_raw[129],0.683,0.668,-0.412,1.977,0.012,0.011,3583.0,2619.0,1.0
log_tau_participant_raw[130],-1.533,0.36,-2.222,-0.87,0.006,0.008,3350.0,2705.0,1.0
log_tau_participant_raw[131],0.629,0.672,-0.51,1.904,0.013,0.013,3532.0,1986.0,1.0
log_tau_participant_raw[132],0.676,0.634,-0.433,1.871,0.011,0.01,4293.0,3060.0,1.01
log_tau_participant_raw[133],-0.357,0.544,-1.196,0.731,0.014,0.019,2370.0,1205.0,1.0
log_tau_participant_raw[134],-1.613,0.424,-2.441,-0.845,0.009,0.01,2581.0,2294.0,1.0
log_tau_participant_raw[135],-0.712,0.378,-1.357,-0.066,0.009,0.018,3186.0,1497.0,1.0
log_tau_participant_raw[136],0.363,0.691,-0.741,1.696,0.015,0.013,2839.0,2030.0,1.0
log_tau_participant_raw[137],-0.968,0.329,-1.581,-0.35,0.006,0.007,3721.0,2501.0,1.0
log_tau_participant_raw[138],0.217,0.655,-0.802,1.517,0.012,0.013,3845.0,2415.0,1.0
log_tau_participant_raw[139],0.777,0.648,-0.282,2.032,0.012,0.012,3621.0,2262.0,1.0
log_tau_participant_raw[140],0.832,0.655,-0.313,2.005,0.012,0.012,3509.0,2508.0,1.0
log_tau_participant_raw[141],0.465,0.652,-0.59,1.717,0.013,0.013,3223.0,2108.0,1.0
log_tau_participant_raw[142],-0.386,1.046,-2.29,1.562,0.016,0.016,4298.0,2952.0,1.0
log_tau_participant_raw[143],-0.725,0.52,-1.616,0.272,0.011,0.015,3196.0,1733.0,1.0
log_tau_participant_raw[144],-1.563,0.392,-2.305,-0.831,0.007,0.008,3422.0,1941.0,1.0
log_tau_participant_raw[145],-0.96,0.346,-1.598,-0.312,0.006,0.007,3870.0,2917.0,1.0
log_tau_participant_raw[146],-0.404,0.513,-1.218,0.512,0.014,0.024,2530.0,1137.0,1.0
log_tau_participant_raw[147],0.689,0.658,-0.364,1.985,0.011,0.012,4227.0,2437.0,1.0
log_tau_participant_raw[148],-1.372,0.365,-2.074,-0.697,0.007,0.005,3000.0,2876.0,1.0
